"URL A","URL B","Similarity","Class"
"/prybyrannya-komertsiynykh-prymishchen-cherkasy","/dezinfektsiya-prymishchen-cherkasy","8.5%","OK"
"/himchystka-kylymiv-cherkasy","/dezinfektsiya-prymishchen-cherkasy","8.5%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/himchystka-dyvana-cherkasy","8.4%","OK"
"/prybyrannya-pislya-pozhezhi-cherkasy","/dezinfektsiya-prymishchen-cherkasy","8.3%","OK"
"/prybyrannya-prylegloyi-terytoriyi-cherkasy","/himchystka-dyvana-cherkasy","8.2%","OK"
"/prybyrannya-budynkiv-cherkasy","/myttya-plytky-cherkasy","8.2%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/himchystka-avto-cherkasy","8.0%","OK"
"/himchystka-avto-cherkasy","/himchystka-kylymiv-cherkasy","8.0%","OK"
"/prybyrannya-budynkiv-cherkasy","/himchystka-matratsa-cherkasy","7.9%","OK"
"/prybyrannya-budynkiv-cherkasy","/myttya-vikon-cherkasy","7.9%","OK"
"/prybyrannya-prylegloyi-terytoriyi-cherkasy","/himchystka-krisel-cherkasy","7.8%","OK"
"/generalne-prybyrannya-kuhni-cherkasy","/prybyrannya-pislya-pozhezhi-cherkasy","7.6%","OK"
"/generalne-prybyrannya-kuhni-cherkasy","/myttya-vikon-cherkasy","7.3%","OK"
"/himchystka-mebliv-cherkasy","/himchystka-matratsa-cherkasy","7.3%","OK"
"/himchystka-dyvana-cherkasy","/himchystka-kylymiv-cherkasy","7.3%","OK"
"/himchystka-matratsa-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy","7.3%","OK"
"/himchystka-kylymiv-cherkasy","/myttya-fasadiv-cherkasy","7.3%","OK"
"/prybyrannya-pislya-pozhezhi-cherkasy","/himchystka-avto-cherkasy","7.2%","OK"
"/himchystka-dyvana-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy","7.2%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/myttya-plytky-cherkasy","7.1%","OK"
"/generalne-prybyrannya-kuhni-cherkasy","/himchystka-kylymiv-cherkasy","7.1%","OK"
"/prybyrannya-pislya-pozhezhi-cherkasy","/himchystka-matratsa-cherkasy","7.1%","OK"
"/prybyrannya-budynkiv-cherkasy","/himchystka-dyvana-cherkasy","7.1%","OK"
"/generalne-prybyrannya-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy","7.0%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/prybyrannya-pislya-pozhezhi-cherkasy","7.0%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/myttya-vikon-cherkasy","7.0%","OK"
"/himchystka-avto-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy","7.0%","OK"
